SEXO,UNIDAD,NIVEL 1,NIVEL 2,NIVEL 3,NIVEL 4,CANTIDAD,CATEGORIA_VENTA,FECHA_VENTA
O,CT,CAES,FARMACIA,VITAMINAS E SUPLEMENTOS,VITAMINAS E SUPLEMENTOS,1,Digital,2021-07-06 00:00:00
O,CT,CAES,FARMACIA,VITAMINAS E SUPLEMENTOS,VITAMINAS E SUPLEMENTOS,1,Digital,2021-09-05 00:00:00
O,DP,CAES,ALIMENTOS,PETISCOS E OSSINHOS,OSSINHOS E PALITOS,1,Digital,2021-10-04 00:00:00
O,DP,CAES,ALIMENTOS,RACOES,RACAO UMIDA (SACHES E LATAS),3,Digital,2021-07-09 00:00:00
O,DP,CAES,ALIMENTOS,RACOES,RACAO UMIDA (SACHES E LATAS),1,Digital,2021-08-04 00:00:00
O,DP,CAES,FARMACIA,VITAMINAS E SUPLEMENTOS,VITAMINAS E SUPLEMENTOS,3,Digital,2021-07-12 00:00:00
O,DP,CAES,FARMACIA,VITAMINAS E SUPLEMENTOS,VITAMINAS E SUPLEMENTOS,1,Digital,2021-09-21 00:00:00
O,DS,CAES,FARMACIA,DORES E INFECCOES,ANTIBIOTICOS,1,Digital,2021-09-29 00:00:00
O,FD,CAES,ALIMENTOS,RACOES,RACAO SECA,1,Digital,2021-10-15 00:00:00
O,FR,CAES,FARMACIA,VITAMINAS E SUPLEMENTOS,VITAMINAS E SUPLEMENTOS,1,Digital,2021-09-18 00:00:00
O,PC,CAES,ACESSORIOS,BRINQUEDOS,PELUCIA - VINIL - LATEX,1,Digital,2021-08-27 00:00:00
O,PC,CAES,ACESSORIOS,BRINQUEDOS,PELUCIA - VINIL - LATEX,1,Digital,2021-10-09 00:00:00
O,PC,CAES,ALIMENTOS,PETISCOS E OSSINHOS,BISCOITOS - BIFINHOS - SNACKS,2,Digital,2021-08-11 00:00:00
O,PC,CAES,ALIMENTOS,RACOES,RACAO SECA,1,Digital,2021-07-04 00:00:00
